frame_number,timestamp,src_ip,src_port,dst_ip,dst_port,protocol,size,summary
89,2025-08-11 09:33:59.625713,52.115.109.31,3481,192.168.1.3,50041,UDP,1197,UDP: 52.115.109.31:3481 -> 192.168.1.3:50041 Len=1163
90,2025-08-11 09:33:59.626395,52.115.109.31,3481,192.168.1.3,50041,UDP,1197,UDP: 52.115.109.31:3481 -> 192.168.1.3:50041 Len=1163
91,2025-08-11 09:33:59.627013,52.115.109.31,3481,192.168.1.3,50041,UDP,1197,UDP: 52.115.109.31:3481 -> 192.168.1.3:50041 Len=1163
92,2025-08-11 09:33:59.627602,52.115.109.31,3481,192.168.1.3,50041,UDP,1197,UDP: 52.115.109.31:3481 -> 192.168.1.3:50041 Len=1163
93,2025-08-11 09:33:59.628194,52.115.109.31,3481,192.168.1.3,50041,UDP,1197,UDP: 52.115.109.31:3481 -> 192.168.1.3:50041 Len=1163
94,2025-08-11 09:33:59.629419,52.115.109.31,3481,192.168.1.3,50041,UDP,1197,UDP: 52.115.109.31:3481 -> 192.168.1.3:50041 Len=1163
95,2025-08-11 09:33:59.630852,52.115.109.31,3481,192.168.1.3,50041,UDP,1197,UDP: 52.115.109.31:3481 -> 192.168.1.3:50041 Len=1163
96,2025-08-11 09:33:59.631489,52.115.109.31,3481,192.168.1.3,50041,UDP,1197,UDP: 52.115.109.31:3481 -> 192.168.1.3:50041 Len=1163
97,2025-08-11 09:33:59.632104,52.115.109.31,3481,192.168.1.3,50041,UDP,1197,UDP: 52.115.109.31:3481 -> 192.168.1.3:50041 Len=1163
98,2025-08-11 09:33:59.632741,52.115.109.31,3481,192.168.1.3,50041,UDP,1197,UDP: 52.115.109.31:3481 -> 192.168.1.3:50041 Len=1163
99,2025-08-11 09:33:59.633366,52.115.109.31,3481,192.168.1.3,50041,UDP,1197,UDP: 52.115.109.31:3481 -> 192.168.1.3:50041 Len=1163
100,2025-08-11 09:33:59.633948,52.115.109.31,3481,192.168.1.3,50041,UDP,1197,UDP: 52.115.109.31:3481 -> 192.168.1.3:50041 Len=1163
101,2025-08-11 09:33:59.634540,52.115.109.31,3481,192.168.1.3,50041,UDP,1197,UDP: 52.115.109.31:3481 -> 192.168.1.3:50041 Len=1163
102,2025-08-11 09:33:59.635203,52.115.109.31,3481,192.168.1.3,50041,UDP,1197,UDP: 52.115.109.31:3481 -> 192.168.1.3:50041 Len=1163
103,2025-08-11 09:33:59.635820,52.115.109.31,3481,192.168.1.3,50041,UDP,1192,UDP: 52.115.109.31:3481 -> 192.168.1.3:50041 Len=1158
104,2025-08-11 09:33:59.637969,52.115.109.31,3481,192.168.1.3,50041,UDP,246,UDP: 52.115.109.31:3481 -> 192.168.1.3:50041 Len=212
105,2025-08-11 09:33:59.638443,52.115.109.31,3481,192.168.1.3,50041,UDP,1197,UDP: 52.115.109.31:3481 -> 192.168.1.3:50041 Len=1163
106,2025-08-11 09:33:59.639093,52.115.109.31,3481,192.168.1.3,50041,UDP,1197,UDP: 52.115.109.31:3481 -> 192.168.1.3:50041 Len=1163
107,2025-08-11 09:33:59.639705,52.115.109.31,3481,192.168.1.3,50041,UDP,1197,UDP: 52.115.109.31:3481 -> 192.168.1.3:50041 Len=1163
108,2025-08-11 09:33:59.640310,52.115.109.31,3481,192.168.1.3,50041,UDP,1197,UDP: 52.115.109.31:3481 -> 192.168.1.3:50041 Len=1163
109,2025-08-11 09:33:59.640896,52.115.109.31,3481,192.168.1.3,50041,UDP,1197,UDP: 52.115.109.31:3481 -> 192.168.1.3:50041 Len=1163
110,2025-08-11 09:33:59.641479,52.115.109.31,3481,192.168.1.3,50041,UDP,1197,UDP: 52.115.109.31:3481 -> 192.168.1.3:50041 Len=1163
111,2025-08-11 09:33:59.642444,52.115.109.31,3481,192.168.1.3,50041,UDP,1197,UDP: 52.115.109.31:3481 -> 192.168.1.3:50041 Len=1163
112,2025-08-11 09:33:59.643334,52.115.109.31,3481,192.168.1.3,50041,UDP,1197,UDP: 52.115.109.31:3481 -> 192.168.1.3:50041 Len=1163
113,2025-08-11 09:33:59.645079,52.115.109.31,3481,192.168.1.3,50041,UDP,1197,UDP: 52.115.109.31:3481 -> 192.168.1.3:50041 Len=1163
114,2025-08-11 09:33:59.645761,52.115.109.31,3481,192.168.1.3,50041,UDP,1197,UDP: 52.115.109.31:3481 -> 192.168.1.3:50041 Len=1163
115,2025-08-11 09:33:59.646377,52.115.109.31,3481,192.168.1.3,50041,UDP,1213,UDP: 52.115.109.31:3481 -> 192.168.1.3:50041 Len=1179
116,2025-08-11 09:33:59.646969,52.115.109.31,3481,192.168.1.3,50041,UDP,1213,UDP: 52.115.109.31:3481 -> 192.168.1.3:50041 Len=1179
117,2025-08-11 09:33:59.647554,52.115.109.31,3481,192.168.1.3,50041,UDP,1213,UDP: 52.115.109.31:3481 -> 192.168.1.3:50041 Len=1179
118,2025-08-11 09:33:59.648124,52.115.109.31,3481,192.168.1.3,50041,UDP,1213,UDP: 52.115.109.31:3481 -> 192.168.1.3:50041 Len=1179
119,2025-08-11 09:33:59.648755,52.115.109.31,3481,192.168.1.3,50041,UDP,1213,UDP: 52.115.109.31:3481 -> 192.168.1.3:50041 Len=1179
120,2025-08-11 09:33:59.649355,52.115.109.31,3481,192.168.1.3,50041,UDP,1213,UDP: 52.115.109.31:3481 -> 192.168.1.3:50041 Len=1179
121,2025-08-11 09:33:59.649951,52.115.109.31,3481,192.168.1.3,50041,UDP,1213,UDP: 52.115.109.31:3481 -> 192.168.1.3:50041 Len=1179
122,2025-08-11 09:33:59.650628,52.115.109.31,3481,192.168.1.3,50041,UDP,1213,UDP: 52.115.109.31:3481 -> 192.168.1.3:50041 Len=1179
123,2025-08-11 09:33:59.651235,52.115.109.31,3481,192.168.1.3,50041,UDP,1213,UDP: 52.115.109.31:3481 -> 192.168.1.3:50041 Len=1179
124,2025-08-11 09:33:59.651820,52.115.109.31,3481,192.168.1.3,50041,UDP,1213,UDP: 52.115.109.31:3481 -> 192.168.1.3:50041 Len=1179
125,2025-08-11 09:33:59.652407,52.115.109.31,3481,192.168.1.3,50041,UDP,1213,UDP: 52.115.109.31:3481 -> 192.168.1.3:50041 Len=1179
126,2025-08-11 09:33:59.652981,52.115.109.31,3481,192.168.1.3,50041,UDP,1213,UDP: 52.115.109.31:3481 -> 192.168.1.3:50041 Len=1179
127,2025-08-11 09:33:59.653567,52.115.109.31,3481,192.168.1.3,50041,UDP,1213,UDP: 52.115.109.31:3481 -> 192.168.1.3:50041 Len=1179
128,2025-08-11 09:33:59.654162,108.158.61.91,443,192.168.1.3,49720,TCP,91,TCP: 108.158.61.91:443 -> 192.168.1.3:49720 [PSH ACK] Seq=1744385547 Ack=1904971178 Win=569 Length: 91 bytes
129,2025-08-11 09:33:59.654492,52.115.109.31,3479,192.168.1.3,50017,UDP,165,UDP: 52.115.109.31:3479 -> 192.168.1.3:50017 Len=131
130,2025-08-11 09:33:59.654760,192.168.1.3,49720,108.158.61.91,443,TCP,95,TCP: 192.168.1.3:49720 -> 108.158.61.91:443 [PSH ACK] Seq=1904971178 Ack=1744385584 Win=253 Length: 95 bytes
131,2025-08-11 09:33:59.655189,52.115.109.31,3481,192.168.1.3,50055,UDP,576,UDP: 52.115.109.31:3481 -> 192.168.1.3:50055 Len=542
132,2025-08-11 09:33:59.655667,52.115.109.31,3481,192.168.1.3,50041,UDP,1213,UDP: 52.115.109.31:3481 -> 192.168.1.3:50041 Len=1179
